ticker,name
2330,台積電
2317,鴻海
2454,聯發科
2382,廣達
2412,中華電
2881,富邦金
2308,台達電
2882,國泰金
3711,日月光投控
2303,聯電
2891,中信金
2886,兆豐金
1216,統一
6505,台塑化
3661,世芯-KY
1303,南亞
1301,台塑
2884,玉山金
6669,緯穎
2885,元大金
5880,合庫金
2892,第一金
2357,華碩
3008,大立光
2002,中鋼
3231,緯創
2603,長榮
2890,永豐金
2880,華南金
2327,國巨
5871,中租-KY
2301,光寶科
2883,凱基金
2609,陽明
3045,台灣大
2379,瑞昱
2408,南亞科
1101,台泥
4904,遠傳
3034,聯詠
2345,智邦
2912,統一超
2615,萬海
2887,台新金
2395,研華
3037,欣興
2377,微星
2409,友達
2801,彰銀
2105,正新
9904,寶成
6446,藥華藥
6472,保瑞
7769,鴻勁
1590,亞德客-KY
2353,宏碁
2376,技嘉
2313,華通
1402,遠東新
1326,台化
2352,佳世達
2610,華航
2618,星宇航空
5876,上海商銀
4938,和碩
2006,東和鋼鐵
2383,台光電
2324,仁寶
2812,台中銀
1605,華新
2201,裕隆
2204,中華車
2356,英業達
2474,可成
2344,華邦電
1503,士電
1504,東元
1722,台肥
1717,長興
2103,台橡
2106,建大
2368,金像電
2449,京元電子
2451,創見
2498,宏達電
2633,台灣高鐵
2834,臺企銀
2845,遠東銀
2855,元富證
2897,王道銀行
2903,遠百
3017,奇鋐
3035,智原
3036,文曄
3044,健鼎
3443,創意
3481,群創
3532,台勝科
3653,健策
3702,大聯大
4919,新唐
4958,臻鼎-KY
5269,祥碩
5388,中磊
6213,聯茂
6239,力成
6415,矽力*-KY
8046,南電
8454,富邦媒
9910,豐泰
9921,巨大
9945,潤泰新
1102,亞泥
1201,味全
1227,佳格
1304,台聚
1305,華夏
1308,亞聚
1312,國喬
1313,聯成
1314,中石化
1434,福懋
1440,南紡
1476,儒鴻
1477,聚陽
1513,中興電
1519,華城
1536,和大
1560,中砂
1608,華榮
1609,大亞
1702,南僑
1707,葡萄王
1710,東聯
1712,興農
1723,中碳
1802,台玻
1904,正隆
1907,永豐餘
2014,中鴻
2023,燁輝
2027,大成鋼
2031,新光鋼
2312,金寶
2323,中環
2328,廣宇
2337,旺宏
2338,光罩
2347,聯強
2354,鴻準
2355,敬鵬
2360,致茂
2371,大同
2373,震旦行
2385,群光
2392,正崴
2404,漢唐
2419,仲琦
2420,菁英
2439,美律
2457,飛宏
2458,義隆
2480,敦陽科
2492,華新科
2501,國建
2504,國產
2511,太子
2542,興富發
2548,華固
2605,新興
2606,裕民
2607,榮運
2617,台航
2634,漢翔
2637,慧洋-KY
2707,晶華
2723,美食-KY
2727,王品
2816,旺旺保
2836,瑞興銀
2838,聯邦銀
2851,中再保
2852,第一保
2915,潤泰全
3003,健和興
3004,豐達科
3005,神基
3010,華立
3014,聯陽
3015,全漢
3019,亞光
3023,信邦
3029,零壹
3030,德律
3042,晶技
3376,新日興
3406,玉晶光
3413,京鼎
3450,聯鈞
3533,嘉澤
3576,聯合再生
3583,辛耘
3596,智易
3665,貿聯-KY
3673,TPK-KY
3704,合勤控
3706,神達
3708,上緯投控
3714,富采
4763,材料-KY
4915,致伸
4961,天鈺
4967,十銓
4968,立積
5234,達興材料
5288,豐祥-KY
5522,遠雄
6116,彩晶
6176,瑞儀
6205,詮欣
6206,飛捷
6235,華孚
6269,台郡
6271,同欣電
6278,台表科
6281,全國電
6282,康舒
6285,啟碁
6412,群電
6414,樺漢
6442,光聖
6443,元晶
6477,安集
6531,愛普*
6533,晶心科
6579,研揚
6605,帝寶
6670,復盛應用
6719,力智
6770,力積電
6781,AES-KY
6789,采鈺
6806,森崴能源
6830,汎銓
8016,矽創
8021,尖點
8028,昇陽半導體
8039,台達化
8081,致新
8103,瀚荃
8105,凌巨
8112,至上
8131,福懋科
8150,南茂
8163,達方
8210,勤誠
8213,志超
8215,明基材
8261,富鼎
8443,阿瘦
8464,億豐
8473,山隆
8478,東哥遊艇
8996,高力
9802,鈺齊-KY
9907,統一實
9914,美利達
9917,中保科
9924,福興
9930,中聯資源
9933,中鼎
9938,百和
9941,裕融
9943,好樂迪
1795,美時
